Unnamed: 0,Unnamed: 0.1,rank dates,rebalance dates,code,in/out,enter_date,enter_price,exit_date,exit_price,beta
242,249,2008-12-15,2009-01-04,600811.SH,0,2008-12-16,4.84,2009-01-05,4.18,1.3758732024637097
243,250,2008-12-15,2009-01-04,600601.SH,0,2008-12-16,3.05,2009-01-05,2.7,1.1371968104067616
244,251,2008-12-15,2009-01-04,601186.SH,1,2008-12-16,9.78,2009-01-05,10.15,0.6945854928460425
245,252,2008-12-15,2009-01-04,601898.SH,1,2008-12-16,7.3,2009-01-05,6.63,1.2294167005818415
246,253,2008-12-15,2009-01-04,601899.SH,1,2008-12-16,4.61,2009-01-05,4.89,0.9448835056809163
247,254,2008-12-15,2009-01-04,600837.SH,1,2008-12-16,8.11,2009-01-05,8.25,1.4418212666547157
248,255,2008-12-15,2009-01-04,601169.SH,1,2008-12-16,9.06,2009-01-05,9.02,0.9971939328079853
249,256,2008-06-04,2008-06-30,600011.SH,0,2008-06-05,10.0,2008-07-01,7.04,0.7781202463093569
250,257,2008-06-04,2008-06-30,600309.SH,0,2008-06-05,19.7,2008-07-01,18.45,0.9881407259507663
251,258,2008-06-04,2008-06-30,601872.SH,0,2008-06-05,8.15,2008-07-01,6.28,0.9551810211727346
252,259,2008-06-04,2008-06-30,600832.SH,0,2008-06-05,12.38,2008-07-01,10.78,0.9269634616533123
253,260,2008-06-04,2008-06-30,600100.SH,0,2008-06-05,23.39,2008-07-01,18.2,0.8845370694000493
254,261,2008-06-04,2008-06-30,601919.SH,1,2008-06-05,24.08,2008-07-01,19.61,1.082434670767188
255,262,2008-06-04,2008-06-30,601601.SH,1,2008-06-05,23.5,2008-07-01,19.28,1.1670122586971472
256,263,2008-06-04,2008-06-30,601991.SH,1,2008-06-05,13.25,2008-07-01,10.55,0.6636991070853291
257,264,2008-06-04,2008-06-30,601390.SH,1,2008-06-05,6.36,2008-07-01,5.18,0.757002704970632
258,265,2008-06-04,2008-06-30,600029.SH,1,2008-06-05,10.79,2008-07-01,7.18,0.9973744689929177
259,266,2007-12-10,2008-01-01,600026.SH,0,2007-12-11,34.05,2008-01-02,37.25,1.1777738049105837
260,267,2007-12-10,2008-01-01,600688.SH,0,2007-12-27,16.02,2008-01-02,17.41,0.8474988334524408
261,268,2007-12-10,2008-01-01,600583.SH,0,2007-12-11,47.01,2008-01-02,52.29,1.0788657882924741
262,270,2007-12-10,2008-01-01,600037.SH,0,2007-12-11,27.5,2008-01-02,31.71,1.1746231406957959
263,271,2007-12-10,2008-01-01,601939.SH,1,2007-12-11,10.4,2008-01-02,9.9,0.8170424457902459
264,272,2007-12-10,2008-01-01,601168.SH,1,2007-12-11,41.35,2007-12-28,42.6,1.2448342468024156
265,273,2007-12-10,2008-01-01,600739.SH,1,2007-12-11,49.95,2008-01-02,50.0,1.4990251035726245
266,274,2007-12-10,2008-01-01,600497.SH,1,2007-12-11,76.8,2008-01-02,79.72,2.2073817059459278
267,275,2007-12-10,2008-01-01,600881.SH,1,2007-12-11,19.6,2008-01-02,21.0,1.24150533830102
