Unnamed: 0,Unnamed: 0.1,rank dates,rebalance dates,code,in/out,enter_date,enter_price,exit_date,exit_price,beta
55,55,2018-12-03,2018-12-16,601888.SH,1,2018-12-04,56.85,2018-12-17,60.42,0.7810923901704608
56,56,2018-12-03,2018-12-16,603259.SH,1,2018-12-04,84.0,2018-12-17,78.66,0.9250465393839924
57,57,2018-12-03,2018-12-16,600196.SH,1,2018-12-04,29.56,2018-12-17,25.4,1.2608173829472686
58,58,2018-05-28,2018-06-10,600518.SH,0,2018-05-29,27.87,2018-06-11,24.64,0.38994539851685306
59,59,2018-05-28,2018-06-10,600837.SH,0,2018-05-29,10.8,2018-06-11,10.24,0.927590445023836
60,60,2018-05-28,2018-06-10,601985.SH,0,2018-05-29,6.4,2018-06-11,5.78,0.627119760940162
61,61,2018-05-28,2018-06-10,601669.SH,0,2018-05-29,6.1,2018-06-11,5.66,0.6315363484300974
62,62,2018-05-28,2018-06-10,600919.SH,0,2018-05-29,7.37,2018-06-11,6.84,0.5856576378147834
63,63,2018-05-28,2018-06-10,600276.SH,1,2018-05-29,100.25,2018-06-11,81.09,1.45496327025147
64,64,2018-05-28,2018-06-10,601360.SH,1,2018-05-29,34.07,2018-06-11,36.5,1.1482076468194193
65,65,2018-05-28,2018-06-10,600585.SH,1,2018-05-29,34.08,2018-06-11,35.37,1.5377930071764505
66,66,2018-05-28,2018-06-10,600690.SH,1,2018-05-29,18.76,2018-06-11,20.43,1.0291099658637541
67,67,2018-05-28,2018-06-10,600703.SH,1,2018-05-29,20.94,2018-06-11,21.4,0.9156359601044144
68,68,2017-11-27,2017-12-10,601788.SH,0,2017-11-28,15.09,2017-12-11,15.01,0.5292761743857928
69,69,2017-11-27,2017-12-10,601901.SH,0,2017-11-28,7.83,2017-12-11,7.1,0.39199057027313794
70,70,2017-11-27,2017-12-10,601198.SH,0,2017-11-28,16.66,2017-12-11,16.36,0.5148915016063121
71,72,2017-11-27,2017-12-10,600100.SH,0,2017-11-28,11.07,2017-12-11,10.32,0.13887687392814058
72,73,2017-11-27,2017-12-10,600019.SH,1,2017-11-28,8.81,2017-12-11,8.42,1.2006927903300246
73,74,2017-11-27,2017-12-10,603993.SH,1,2017-11-28,6.48,2017-12-11,6.68,1.2216589985376891
74,75,2017-11-27,2017-12-10,601669.SH,1,2017-11-28,7.35,2017-12-11,7.53,0.28669874760939973
75,76,2017-11-27,2017-12-10,600309.SH,1,2017-11-28,37.0,2017-12-04,37.6,0.6661063999313372
76,77,2017-11-27,2017-12-10,601878.SH,1,2017-11-28,15.8,2017-12-11,16.24,0.6393399107382757
77,78,2017-05-31,2017-06-11,601998.SH,0,2017-06-01,6.16,2017-06-12,6.16,0.9649196689862852
78,79,2017-05-31,2017-06-11,600637.SH,0,2017-06-01,21.37,2017-06-12,20.71,0.17809065925017564
79,80,2017-05-31,2017-06-11,600893.SH,0,2017-06-01,24.45,2017-06-12,26.68,0.24967741855879894
80,81,2017-05-31,2017-06-11,601377.SH,0,2017-06-06,7.36,2017-06-12,7.28,0.9773491297279296
81,82,2017-05-31,2017-06-11,600109.SH,0,2017-06-01,11.85,2017-06-12,11.67,0.7625526700132594
82,83,2017-05-31,2017-06-11,601229.SH,1,2017-06-01,23.81,2017-06-12,24.88,0.2360407500934643
83,84,2017-05-31,2017-06-11,601881.SH,1,2017-06-01,11.27,2017-06-12,11.87,1.463079229139688
84,85,2017-05-31,2017-06-11,600919.SH,1,2017-06-01,9.04,2017-06-12,9.33,0.5541207932997129
85,86,2017-05-31,2017-06-11,600340.SH,1,2017-06-01,33.7,2017-06-12,36.01,0.5946643449330016
86,87,2017-05-31,2017-06-11,600606.SH,1,2017-06-01,7.75,2017-06-12,8.18,0.7589810073260088
87,89,2016-11-28,2016-12-11,601669.SH,0,2016-11-29,7.81,2016-12-12,7.32,1.6263624761999702
88,90,2016-11-28,2016-12-11,600010.SH,0,2016-11-29,3.0,2016-12-12,2.99,0.9382264850275063
89,91,2016-11-28,2016-12-11,600795.SH,0,2016-11-29,3.19,2016-12-12,3.2,0.6778595679066954
90,92,2016-11-28,2016-12-11,601919.SH,0,2016-11-29,5.9,2016-12-12,5.76,1.4923717070402738
91,93,2016-11-28,2016-12-11,600547.SH,1,2016-11-29,38.51,2016-12-12,37.48,0.3675623361833364
92,94,2016-11-28,2016-12-11,601901.SH,1,2016-11-29,8.79,2016-12-12,8.08,1.234013514990449
93,95,2016-11-28,2016-12-11,601198.SH,1,2016-11-29,23.03,2016-12-12,22.04,1.094531979290928
94,96,2016-11-28,2016-12-11,600485.SH,1,2016-11-29,17.52,2016-12-12,16.92,-0.5808956971171949
95,97,2016-11-28,2016-12-11,600100.SH,1,2016-11-29,14.86,2016-12-12,14.89,1.0227716679707726
96,98,2016-05-30,2016-06-12,600018.SH,0,2016-05-31,5.11,2016-06-13,5.12,0.650053117291851
97,99,2016-05-30,2016-06-12,600015.SH,0,2016-05-31,9.96,2016-06-13,10.05,0.8065817098276519
98,100,2016-05-30,2016-06-12,600585.SH,0,2016-05-31,14.88,2016-06-13,14.79,1.290270978070356
99,101,2016-05-30,2016-06-12,601901.SH,0,2016-05-31,6.77,2016-06-13,7.25,1.733833098764536
100,102,2016-05-30,2016-06-12,600150.SH,0,2016-05-31,21.7,2016-06-13,22.36,1.414717962186914
