,dates,year,code,in/out,enter_date,close_date,beta
4607,2015-05-01,2015,GDDY,1,2015-05-04,2015-06-29,-2.052068326929187
4608,2015-05-01,2015,FRPT,1,2015-05-04,2015-06-29,0.6647709806393259
4609,2015-05-01,2015,FOLD,1,2015-05-04,2015-06-29,3.1178367615441727
4610,2015-05-01,2015,FGEN,1,2015-05-04,2015-06-29,0.5203534181030736
4611,2015-05-01,2015,FFKT,1,2015-05-04,2015-06-29,0.2545047920853368
4612,2015-05-01,2015,EYES,1,2015-05-04,2015-06-29,0.1577346568640227
4613,2015-05-01,2015,ETSY,1,2015-05-04,2015-06-29,-1.2236502367691502
4614,2015-05-01,2015,ESTE,1,2015-05-04,2015-06-29,2.0456397078656434
4615,2015-05-01,2015,ERINQ,1,2015-05-04,2015-06-29,1.4738060845401926
4616,2015-05-01,2015,ENVA,1,2015-05-04,2015-06-29,0.9778867105470804
4617,2015-05-01,2015,ENTL,1,2015-05-04,2015-06-29,0.053687331830903
4618,2015-05-01,2015,EMKR,1,2015-05-04,2015-06-29,0.530335939525667
4619,2015-05-01,2015,ELDN,1,2015-05-04,2015-06-29,1.041556227281792
4620,2015-05-01,2015,EGRX,1,2015-05-04,2015-06-29,0.8571134263962228
4621,2015-05-01,2015,EGLE,1,2015-05-04,2015-06-29,0.2520952987958028
4622,2015-05-01,2015,DRRX,1,2015-05-04,2015-06-29,-0.4009138754115259
4623,2015-05-01,2015,DEA,1,2015-05-04,2015-06-29,0.9326742249010784
4624,2015-05-01,2015,CZR,1,2015-05-04,2015-06-29,-0.0473956673490862
4625,2015-05-01,2015,CWCO,1,2015-05-04,2015-06-29,0.2721534673824532
4626,2015-05-01,2015,CVLG,1,2015-05-04,2015-06-29,1.1423761907745222
4627,2015-05-01,2015,CVEO,1,2015-05-04,2015-06-29,0.4244382012174282
4628,2015-05-01,2015,CUTR,1,2015-05-04,2015-06-29,0.4406236571410042
4629,2015-05-01,2015,CRMD,1,2015-05-04,2015-06-29,-0.4177806901816375
4630,2015-05-01,2015,CRIS,1,2015-05-04,2015-06-29,2.503239119509096
