Unnamed: 0,Unnamed: 0.1,dates,code,in/out,enter_date,enter_price,close_date,close_price,beta
0,0,2021-05-07,AAN,1,2021-05-10,32.43000030517578,2021-06-28,32.790000915527344,1.846701197996874
1,1,2021-05-07,ABUS,1,2021-05-10,2.8399999141693115,2021-06-28,3.809999942779541,2.4141648069729627
2,2,2021-05-07,ACET,1,2021-05-10,14.06999969482422,2021-06-28,9.699999809265137,1.8283085907354688
3,3,2021-05-07,ACRS,1,2021-05-10,22.709999084472656,2021-06-28,17.790000915527344,1.9459334522899057
4,4,2021-05-07,ADN,1,2021-05-10,11.229999542236328,2021-06-28,9.399999618530272,1.5785245341459164
5,5,2021-05-07,ADV,1,2021-05-10,12.920000076293944,2021-06-28,11.260000228881836,0.7998560038851742
6,6,2021-05-07,AEVA,1,2021-05-10,9.279999732971191,2021-06-28,11.09000015258789,3.047057291323899
7,7,2021-05-07,AFCG,1,2021-05-10,23.459999084472656,2021-06-28,20.57999992370605,0.9565760523544794
8,8,2021-05-07,AGL,1,2021-05-10,33.849998474121094,2021-06-28,39.65999984741211,1.4907474067669266
9,9,2021-05-07,AGTI,1,2021-05-10,14.6899995803833,2021-06-28,21.6299991607666,0.3014273098805715
10,10,2021-05-07,AHT,1,2021-05-10,28.700000762939453,2021-06-28,53.29999923706055,2.124657244602067
11,11,2021-05-07,AI,1,2021-05-10,56.5,2021-06-28,64.5,3.502740074471632
12,12,2021-05-07,AIRC,1,2021-05-10,44.52000045776367,2021-06-28,48.40999984741211,0.5855140688018184
13,13,2021-05-07,AKYA,1,2021-05-10,20.040000915527344,2021-06-28,18.850000381469727,0.6338881273075173
14,14,2021-05-07,ALDX,1,2021-05-10,12.479999542236328,2021-06-28,11.550000190734863,2.129872044602961
15,15,2021-05-07,ALGM,1,2021-05-10,24.65999984741211,2021-06-28,27.420000076293945,2.1495450284065623
16,16,2021-05-07,ALGS,1,2021-05-10,26.239999771118164,2021-06-28,26.790000915527344,1.958087741952357
17,17,2021-05-07,ALHC,1,2021-05-10,24.06999969482422,2021-06-28,25.059999465942383,2.6807677598873414
18,18,2021-05-07,ALKT,1,2021-05-10,38.29999923706055,2021-06-28,35.900001525878906,0.06948437936773964
19,19,2021-05-07,ALPN,1,2021-05-10,12.010000228881836,2021-06-28,9.800000190734863,0.9711350639932045
20,20,2021-05-07,ALT,1,2021-05-10,13.68000030517578,2021-06-28,16.1299991607666,3.1768089189203095
21,21,2021-05-07,ALTM,1,2021-05-10,67.27999877929688,2021-06-28,70.43000030517578,0.42779246113480207
22,22,2021-05-07,ALTO,1,2021-05-10,5.820000171661377,2021-06-28,6.179999828338623,1.2728008552531302
23,23,2021-05-07,AMPE,1,2021-05-10,1.850000023841858,2021-06-28,1.7599999904632568,3.5363842584102496
24,24,2021-05-07,AMTX,1,2021-05-10,13.40999984741211,2021-06-28,11.970000267028809,2.243072975107385
25,25,2021-05-07,AMWL,1,2021-05-10,13.829999923706056,2021-06-28,14.0,1.794746757526497
26,26,2021-05-07,ANGN,1,2021-05-10,14.270000457763672,2021-06-28,15.5,1.3434193543813657
27,27,2021-05-07,APPH,1,2021-05-10,13.770000457763672,2021-06-28,16.540000915527344,3.3855717351291994
28,28,2021-05-07,APR,1,2021-05-10,28.11000061035156,2021-06-28,28.040000915527344,-0.492938501089632
29,29,2021-05-07,AQB,1,2021-05-10,5.309999942779541,2021-06-28,5.980000019073486,4.15292258526307
30,30,2021-05-07,ARKO,1,2021-05-10,10.380000114440918,2021-06-28,9.300000190734863,0.5253425566150713
31,31,2021-05-07,ARRY,1,2021-05-10,25.09000015258789,2021-06-28,16.049999237060547,3.086231329860724
32,32,2021-05-07,ASAN,1,2021-05-10,28.549999237060547,2021-06-28,63.0,2.5608448210143164
33,33,2021-05-07,ASLE,1,2021-05-10,11.90999984741211,2021-06-28,11.899999618530272,0.8600750947697726
34,34,2021-05-07,ASO,1,2021-05-10,34.70000076293945,2021-06-28,42.40999984741211,1.0353415113272817
35,35,2021-05-07,ASXC,1,2021-05-10,1.909999966621399,2021-06-28,3.3499999046325684,1.2628935278532099
36,36,2021-05-07,ATCX,1,2021-05-10,11.619999885559082,2021-06-28,9.609999656677246,0.7056977622395331
37,37,2021-05-07,ATER,1,2021-05-10,14.869999885559082,2021-06-28,16.285999298095703,4.009967389533763
38,38,2021-05-07,ATHA,1,2021-05-10,18.56999969482422,2021-06-28,10.81999969482422,1.249430186559623
39,39,2021-05-07,ATOS,1,2021-05-10,2.700000047683716,2021-06-28,7.610000133514404,5.690437749042093
40,40,2021-05-07,AVAH,1,2021-05-10,11.59000015258789,2021-06-28,12.619999885559082,1.7449158211938536
41,41,2021-05-07,AVIR,1,2021-05-10,21.5,2021-06-28,24.1299991607666,-0.18066109244792647
42,42,2021-05-07,AVNW,1,2021-05-10,31.700000762939453,2021-06-28,33.91999816894531,2.9124417830823424
43,43,2021-05-07,AVO,1,2021-05-10,19.84000015258789,2021-06-28,21.18000030517578,0.5944699640384388
44,44,2021-05-07,BCAB,1,2021-05-10,45.650001525878906,2021-06-28,43.36000061035156,0.8496471686486279
45,45,2021-05-07,BDSX,1,2021-05-10,14.359999656677246,2021-06-28,14.1899995803833,1.8210147204991858
46,46,2021-05-07,BEEM,1,2021-05-10,31.479999542236328,2021-06-28,37.970001220703125,5.585850301891163
47,47,2021-05-07,BFLY,1,2021-05-10,11.989999771118164,2021-06-28,14.350000381469728,3.213967386401502
48,48,2021-05-07,BGFV,1,2021-05-10,30.25,2021-06-28,25.559999465942383,2.6702945508398277
